V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	unique_id	science_material	science_formula	science_phase	science_method	data_delimiter	label	entry	drho[g/cm^3]	dP[GPa]	dT[K]	science_cristal	MDsteps	U[kJ/kg]
	10.852288379909124	93.7755		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.001270016194255	0.0	1.0	hcp		
	11.009474558509256	104.714		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013070728432279	0.0	1.0	hcp		
	11.026492771263197	106.7789		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013111168574629	0.0	1.0	hcp		
	11.004901703711324	113.1566		1735.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013059872668025	0.228	69.4	hcp		
	10.982744620870902	114.3473		1975.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0019511004833666	0.1589	102.4	hcp		
	10.984696068031685	113.1931		1860.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026023918663898	0.2061	85.2	hcp		
	11.108385745846126	119.7219		1810.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0019959964804467	0.3383	81.0	hcp		
	11.145099958695209	111.7739		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020092121793212	0.0	1.0	hcp		
	11.07323472521625	122.8021		2326.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0019833843319391	1.0257	1.0	hcp		
	11.056731156113443	120.9421		2273.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013183177722801	0.386	64.8	hcp		
	11.046194664243416	121.4083		2445.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026316127848108	0.6039	83.8	hcp		
	11.052777616963466	121.2404		2430.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0019760627443915	0.8037	92.8	hcp		
	11.15985368630164	112.3329		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013430234895362	0.0	1.0	hcp		
	11.127046341051532	125.8461		2386.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020027081247392	0.1027	97.8	hcp		
	8.373321838980626	-15.634802535565893		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28100.49566824437
	8.451579038078322	-18.18691488733296		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28121.704176469888
	8.531307589667481	-16.132494293963397		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28140.60053369118
	8.612563013596215	-14.250446775174847		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28157.39536288202
	8.69537388716268	-12.04689305025165		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28171.90248837378
	8.779793926886175	-9.711061098035875		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28183.87626177581
	8.865869868433377	-7.3218660205553086		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28193.24075538298
	8.953651555744111	-4.472585661026335		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28199.794513991157
	9.04319085313009	-1.9396731720949856		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28203.18916348754
	9.134536415284895	0.8157458252073851		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28203.886146791006
	9.227744816012672	4.040823008013799		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28201.02745746816
	9.322872237594776	7.364480331760444		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28194.756253298685
	9.419992031791764	10.914294140001555		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28184.54127551614
	9.519147904454712	14.360323682843587		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28170.51792460603
	9.62041417434174	18.5035481129674		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28152.3519306351
	9.72385894153398	22.49352836610978		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28129.515795982566
	9.829554039968706	26.64992417845424		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28102.376935467404
	9.937567395109138	31.44618896794131		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28070.113543445717
	10.04798580343975	36.210782189826936		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-28032.61842792448
	10.160887196686009	41.66222898367486		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27989.57165826953
	10.276348685900404	46.940951602527946		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27940.38414844571
	10.39447043211771	52.44557794467539		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27885.454812646047
	10.515334844170091	58.81503518660264		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27823.781076273703
	10.639046705953	65.0411546421216		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27755.139152436772
	10.765702285348116	72.31716878063001		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27679.27304961902
	10.895407915836524	79.2664798094533		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27595.119545103986
	11.028281916908476	86.4675260385907		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27503.571200611204
	11.164431857349642	94.95477683045584		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27402.949379477708
	11.30398652451786	103.7335697352624		300.0		hakim2018	iron	Fe	solid	DFT		hcpfe	hakim2018_hcpfe						-27293.061324113314
